Speed,Power,Hatch,Thickness,Heat temperature,Heat time,Sa,R,N,
1250,200,80,30,820,1.5,599.139,-1,3008,
1250,200,80,30,820,1.5,498.906,-1,18722,
1250,200,80,30,820,1.5,399.385,-1,35108,
1250,200,80,30,820,1.5,350.478,-1,83573,
1250,200,80,30,820,1.5,319.728,-1,90255,
1250,200,80,30,820,1.5,299.754,-1,219754,
1250,200,80,30,820,1.5,279.846,-1,259321,
1250,200,80,30,820,1.5,250.874,-1,392403,
1250,200,80,30,820,1.5,249.613,-1,720878,
1250,200,80,30,820,1.5,230.921,-1,761632,
1250,200,80,30,820,1.5,249.978,-1,10000000,
1250,200,80,30,820,1.5,229.482,-1,10000000,
1250,200,80,30,820,1.5,199.944,-1,10000000,
1250,170,100,30,650,3,500.744,0.1,30983,
1250,170,100,30,650,3,500.851,0.1,33783,
1250,170,100,30,650,3,400.713,0.1,58071,
1250,170,100,30,650,3,301.193,0.1,151012,
1250,170,100,30,650,3,301.301,0.1,173740,
1250,170,100,30,650,3,240.692,0.1,326637,
1250,170,100,30,650,3,219.554,0.1,483312,
1250,170,100,30,650,3,200.08,0.1,3391590,
1250,170,100,30,650,3,221.427,0.1,8351897,
1250,170,100,30,650,3,200.29,0.1,10000000,
1250,170,100,30,650,3,221.078,0.1,10000000,
1250,170,100,30,650,3,240.58,0.1,474862,
1200,280,140,30,704,1,562.02,-1,3120,
1200,280,140,30,704,1,562.02,-1,3722,
1200,280,140,30,704,1,562.02,-1,3805,
1200,280,140,30,704,1,562.02,-1,3890,
1200,280,140,30,704,1,562.02,-1,3933,
1200,280,140,30,704,1,562.02,-1,4441,
1200,280,140,30,704,1,337.212,-1,13832,
1200,280,140,30,704,1,337.212,-1,18631,
1200,280,140,30,704,1,337.212,-1,18837,
1200,280,140,30,704,1,337.212,-1,21983,
1200,280,140,30,704,1,112.404,-1,362118,
1200,280,140,30,704,1,112.404,-1,532740,
1200,280,140,30,704,1,112.404,-1,569190,
1200,280,140,30,704,1,112.404,-1,2000000,
1200,280,140,30,704,1,112.404,-1,2000000,
1200,280,140,30,704,1,112.404,-1,2000000,
1250,170,100,30,650,4,320.7816,0.1,1232834,
1250,170,100,30,650,4,295.9848,0.1,2500743,
1250,170,100,30,650,4,282.31425,0.1,2327384,
1250,170,100,30,650,4,259.1568,0.1,4013573,
1250,170,100,30,650,4,273.10635,0.1,8364980,
1250,170,100,30,650,4,270.1728,0.1,8753349,
1250,170,100,30,650,4,247.04505,0.1,10000000,
1250,170,100,30,650,4,246.0537,0.1,12182501,
